latitude,longitude,acq_date,acq_time,confidence,frp,year,month,day,index_right,city,country,population,distance_m,distance_km,risk_level
52.31992,127.43652,2026-05-17,408,n,71.64,2026,5,17,851,Yichun,China,878881.0,811657.121245038,811.657121245038,Low
52.32081,127.44204,2026-05-17,408,n,71.64,2026,5,17,851,Yichun,China,878881.0,811698.0541342545,811.6980541342544,Low
52.66305,127.26975,2026-05-17,408,n,59.04,2026,5,17,851,Yichun,China,878881.0,876813.5489476596,876.8135489476596,Low
52.66717,127.27393,2026-05-17,408,n,59.04,2026,5,17,851,Yichun,China,878881.0,877461.9716372775,877.4619716372775,Low
52.6704,127.27251,2026-05-17,408,n,62.45,2026,5,17,851,Yichun,China,878881.0,878074.4869805296,878.0744869805296,Low
52.67184,127.26,2026-05-17,408,n,99.54,2026,5,17,851,Yichun,China,878881.0,878611.4569577766,878.6114569577766,Low
52.67363,127.27111,2026-05-17,408,n,62.45,2026,5,17,851,Yichun,China,878881.0,878686.6040377094,878.6866040377095,Low
52.77719,127.37881,2026-05-17,408,n,53.04,2026,5,17,851,Yichun,China,878881.0,895091.6494848778,895.0916494848778,Low
52.78042,127.3774,2026-05-17,408,n,53.04,2026,5,17,851,Yichun,China,878881.0,895704.7043047637,895.7047043047637,Low
53.03219,126.62433,2026-05-17,408,n,105.94,2026,5,17,851,Yichun,China,878881.0,959504.536738776,959.504536738776,Low
53.20783,127.32726,2026-05-17,408,n,184.32,2026,5,17,851,Yichun,China,878881.0,974491.1376102922,974.4911376102922,Low
53.20872,127.33288,2026-05-17,408,h,184.32,2026,5,17,851,Yichun,China,878881.0,974546.1026610731,974.5461026610731,Low
53.21429,127.32442,2026-05-17,408,n,64.2,2026,5,17,851,Yichun,China,878881.0,975728.5255747931,975.7285255747931,Low
53.32539,126.93632,2026-05-17,408,n,70.89,2026,5,17,851,Yichun,China,878881.0,1004328.2688124726,1004.3282688124726,Low
53.36063,126.87617,2026-05-17,408,n,243.81,2026,5,17,851,Yichun,China,878881.0,1012177.6732043765,1012.1776732043764,Low
53.36708,126.87326,2026-05-17,408,n,53.92,2026,5,17,851,Yichun,China,878881.0,1013422.4863847696,1013.4224863847695,Low
53.3694,126.86617,2026-05-17,408,n,53.92,2026,5,17,851,Yichun,China,878881.0,1014015.913101821,1014.015913101821,Low
53.39754,126.84746,2026-05-17,408,n,80.65,2026,5,17,851,Yichun,China,878881.0,1019594.8430595562,1019.5948430595562,Low
53.39997,126.75533,2026-05-17,408,n,71.44,2026,5,17,851,Yichun,China,878881.0,1022317.9364715881,1022.317936471588,Low
53.40077,126.84601,2026-05-17,408,n,80.65,2026,5,17,851,Yichun,China,878881.0,1020218.5704391396,1020.2185704391396,Low
53.40168,126.85167,2026-05-17,408,n,50.6,2026,5,17,851,Yichun,China,878881.0,1020247.4594982294,1020.2474594982294,Low
61.34951,112.79852,2026-05-17,412,n,87.83,2026,5,17,1165,Irkutsk,Russia,623736.0,2082379.4791069608,2082.379479106961,Low
-31.37171,117.23052,2026-05-17,525,n,55.56,2026,5,17,388,Perth,Australia,2141834.0,170652.533537837,170.652533537837,Low
-31.37119,117.2361,2026-05-17,525,n,55.56,2026,5,17,388,Perth,Australia,2141834.0,171238.47028030184,171.23847028030184,Low
-31.36708,117.22995,2026-05-17,525,n,55.56,2026,5,17,388,Perth,Australia,2141834.0,170866.96047556793,170.86696047556794,Low
-31.36656,117.2355,2026-05-17,525,n,55.56,2026,5,17,388,Perth,Australia,2141834.0,171449.18851651554,171.44918851651553,Low
20.82071,104.32527,2026-05-17,542,n,85.77,2026,5,17,51,Hanoi,Vietnam,8587100.0,171071.61773167882,171.07161773167883,Low
21.03079,102.39669,2026-05-17,542,n,105.77,2026,5,17,1138,Jinghong,China,642737.0,213103.93778721176,213.10393778721175,Low
21.03135,102.39802,2026-05-17,542,n,108.53,2026,5,17,1138,Jinghong,China,642737.0,213191.01564577062,213.19101564577062,Low
21.03535,102.39126,2026-05-17,542,n,105.77,2026,5,17,1138,Jinghong,China,642737.0,212300.1309287877,212.3001309287877,Low
21.03627,102.39536,2026-05-17,542,n,105.77,2026,5,17,1138,Jinghong,China,642737.0,212621.72340729088,212.6217234072909,Low
21.04834,102.52866,2026-05-17,542,n,79.17,2026,5,17,1138,Jinghong,China,642737.0,224445.177194119,224.445177194119,Low
21.04924,102.53282,2026-05-17,542,n,79.17,2026,5,17,1138,Jinghong,China,642737.0,224788.16267889686,224.78816267889687,Low
21.05539,102.50597,2026-05-17,542,n,80.29,2026,5,17,1138,Jinghong,China,642737.0,221845.83548328822,221.84583548328823,Low
21.05581,102.51037,2026-05-17,542,h,54.83,2026,5,17,1138,Jinghong,China,642737.0,222240.28729403447,222.24028729403446,Low
21.06086,102.42773,2026-05-17,542,n,157.6,2026,5,17,1138,Jinghong,China,642737.0,214077.22814836938,214.0772281483694,Low
21.06745,102.4314,2026-05-17,542,n,157.6,2026,5,17,1138,Jinghong,China,642737.0,214008.80849595222,214.00880849595222,Low
21.06835,102.43542,2026-05-17,542,n,61.23,2026,5,17,1138,Jinghong,China,642737.0,214332.97482208925,214.33297482208926,Low
21.83915,101.99242,2026-05-17,542,h,84.91,2026,5,17,1138,Jinghong,China,642737.0,134625.33060685542,134.6253306068554,Low
21.84041,101.99282,2026-05-17,542,n,85.03,2026,5,17,1138,Jinghong,China,642737.0,134646.5586191477,134.6465586191477,Low
21.98283,101.76488,2026-05-17,542,n,82.2,2026,5,17,1138,Jinghong,China,642737.0,107789.71008199693,107.78971008199693,Low
16.26023,80.59127,2026-05-17,722,n,54.45,2026,5,17,1092,Guntūr,India,670073.0,17184.229878868515,17.184229878868514,Very High
16.2619,80.59409,2026-05-17,722,n,64.72,2026,5,17,1092,Guntūr,India,670073.0,17435.260745595064,17.435260745595063,Very High
20.539,79.05647,2026-05-17,722,n,66.76,2026,5,17,345,Nāgpur,India,2405665.0,72793.88171636069,72.79388171636069,Moderate
21.59154,99.91371,2026-05-17,722,n,145.63,2026,5,17,1138,Jinghong,China,642737.0,110333.04267170576,110.33304267170575,Low
21.9926,101.76146,2026-05-17,722,n,62.35,2026,5,17,1138,Jinghong,China,642737.0,107381.2504197983,107.3812504197983,Low
45.95127,79.53401,2026-05-17,731,n,52.71,2026,5,17,942,Ailan Mubage,China,778047.0,375404.92972743954,375.40492972743954,Low
45.95531,79.53783,2026-05-17,731,h,52.71,2026,5,17,942,Ailan Mubage,China,778047.0,375739.3897052802,375.7393897052802,Low
53.91581,63.19238,2026-05-17,731,n,51.51,2026,5,17,637,Chelyabinsk,Russia,1177058.0,312096.5671461509,312.0965671461509,Low
